37,2.0,2.0,0.0,purple,2.0,2.0,0.0,2.0,2.0,0.0,file
22,3.0,0.0,0.0,purple,3.0,0.0,0.0,3.0,0.0,0.0,file
19,2.0,3.0,2.0,purple,2.0,3.0,2.0,2.0,2.0,2.0,file
0,2.0,3.0,0.0,purple,2.0,3.0,0.0,2.0,3.0,0.0,file
11,2.0,3.0,1.0,purple,2.0,3.0,1.0,2.0,3.0,1.0,file
54,0.0,1.0,2.0,purple,0.0,1.0,2.0,0.0,1.0,1.0,file
10,3.0,1.0,1.0,purple,3.0,1.0,1.0,3.0,1.0,1.0,file
23,3.0,0.0,1.0,purple,3.0,0.0,1.0,3.0,0.0,1.0,file
18,0.0,2.0,3.0,purple,0.0,2.0,3.0,0.0,2.0,3.0,file
16,0.0,3.0,2.0,purple,0.0,3.0,2.0,0.0,3.0,2.0,file
42,0.0,2.0,0.0,purple,0.0,2.0,0.0,0.0,2.0,0.0,file
15,3.0,0.0,2.0,purple,3.0,0.0,2.0,2.0,0.0,2.0,file
49,1.0,0.0,1.0,purple,1.0,0.0,1.0,1.0,0.0,0.0,file
41,0.0,0.0,3.0,purple,0.0,0.0,3.0,0.0,0.0,3.0,file
4,3.0,1.0,2.0,purple,3.0,1.0,2.0,3.0,1.0,3.0,file
5,2.0,1.0,2.0,purple,2.0,1.0,2.0,3.0,1.0,2.0,file
38,3.0,2.0,0.0,purple,3.0,2.0,0.0,3.0,2.0,0.0,file
9,2.0,1.0,1.0,purple,2.0,1.0,1.0,2.0,1.0,1.0,file
30,2.0,0.0,3.0,purple,2.0,0.0,3.0,2.0,0.0,3.0,file
13,0.0,3.0,1.0,purple,0.0,3.0,1.0,0.0,3.0,1.0,file
6,3.0,3.0,1.0,purple,3.0,3.0,1.0,3.0,3.0,1.0,file
44,1.0,2.0,1.0,purple,1.0,2.0,1.0,1.0,2.0,1.0,file
34,1.0,3.0,1.0,purple,1.0,3.0,1.0,1.0,3.0,1.0,file
51,1.0,1.0,0.0,purple,1.0,1.0,0.0,1.0,1.0,1.0,file
26,2.0,1.0,0.0,purple,2.0,1.0,0.0,2.0,1.0,0.0,file
46,1.0,1.0,3.0,purple,1.0,1.0,3.0,0.0,1.0,3.0,file
29,1.0,2.0,3.0,purple,1.0,2.0,3.0,1.0,2.0,3.0,file
43,2.0,2.0,1.0,purple,2.0,2.0,1.0,2.0,2.0,1.0,file
12,0.0,3.0,0.0,purple,0.0,3.0,0.0,0.0,3.0,0.0,file
21,2.0,1.0,3.0,purple,2.0,1.0,3.0,2.0,1.0,3.0,file
47,1.0,1.0,2.0,purple,1.0,1.0,2.0,1.0,1.0,3.0,file
1,3.0,2.0,1.0,purple,3.0,2.0,1.0,3.0,2.0,1.0,file
59,0.0,0.0,0.0,purple,0.0,0.0,0.0,0.0,0.0,0.0,file
32,1.0,3.0,3.0,purple,1.0,3.0,3.0,1.0,3.0,3.0,file
25,2.0,0.0,0.0,purple,2.0,0.0,0.0,2.0,0.0,0.0,file
14,2.0,0.0,2.0,purple,2.0,0.0,2.0,1.0,0.0,2.0,file
17,0.0,3.0,3.0,purple,0.0,3.0,3.0,0.0,3.0,3.0,file
20,2.0,3.0,3.0,purple,2.0,3.0,3.0,2.0,3.0,2.0,file
53,0.0,1.0,1.0,purple,0.0,1.0,1.0,0.0,1.0,0.0,file
50,1.0,1.0,1.0,purple,1.0,1.0,1.0,1.0,0.0,1.0,file
28,1.0,2.0,2.0,purple,1.0,2.0,2.0,1.0,2.0,2.0,file
33,1.0,3.0,2.0,purple,1.0,3.0,2.0,1.0,3.0,2.0,file
7,3.0,3.0,0.0,purple,3.0,3.0,0.0,3.0,3.0,0.0,file
31,1.0,0.0,2.0,purple,1.0,0.0,2.0,1.0,1.0,2.0,file
48,1.0,0.0,0.0,purple,1.0,0.0,0.0,1.0,0.0,-1.0,file
27,0.0,2.0,2.0,purple,0.0,2.0,2.0,0.0,2.0,2.0,file
36,1.0,2.0,0.0,purple,1.0,2.0,0.0,1.0,2.0,0.0,file
55,0.0,1.0,3.0,purple,0.0,1.0,3.0,0.0,1.0,2.0,file
39,3.0,1.0,0.0,purple,3.0,1.0,0.0,3.0,1.0,0.0,file
52,0.0,1.0,0.0,purple,0.0,1.0,0.0,1.0,1.0,0.0,file
57,0.0,0.0,2.0,purple,0.0,0.0,2.0,0.0,0.0,2.0,file
2,3.0,0.0,3.0,purple,3.0,0.0,3.0,3.0,0.0,2.0,file
40,1.0,0.0,3.0,purple,1.0,0.0,3.0,1.0,0.0,3.0,file
58,0.0,0.0,1.0,purple,0.0,0.0,1.0,0.0,0.0,1.0,file
56,0.0,2.0,1.0,purple,0.0,2.0,1.0,0.0,2.0,1.0,file
8,2.0,2.0,2.0,purple,2.0,2.0,2.0,2.0,1.0,2.0,file
24,2.0,0.0,1.0,purple,2.0,0.0,1.0,2.0,0.0,1.0,file
35,1.0,3.0,0.0,purple,1.0,3.0,0.0,1.0,3.0,0.0,file
3,3.0,1.0,3.0,purple,3.0,1.0,3.0,3.0,0.0,3.0,file
